"HAULJOIN","REGION","STRATUM2","YEAR","MONTH","DAY","VESSEL","CRUISE","HAUL","GEAR_TEMP","SURFACE_TEMP","STATIONID2","RLAT","RLONG","STRATUM","STATIONID","RLAT_RACEBASE","RLONG_RACEBASE","CRUISE_TYPE","ECOPATH_PP"
11019861,"BS",61,2008,7,12,88,200801,157,3.3,7.5,"G-26",56.99,-173.24,61,"G-26",56.98691,-173.24381,"Race_Groundfish","OuterNW"
11029374,"BS",43,2008,7,15,88,200801,169,-0.1,5,"P-26",59.99,-173.97,43,"P-26",59.99425,-173.97121,"Race_Groundfish","MiddleNW"
11022245,"BS",62,2008,7,18,88,200801,187,0.5,5,"P-27",60,-174.6,62,"P-27",60.00352,-174.59801,"Race_Groundfish","OuterNW"
11029380,"BS",31,2008,7,22,88,200801,201,2.6,5.8,"G-12",56.99,-160.94,31,"G-12",56.99049,-160.9447,"Race_Groundfish","MiddleSE"
11029382,"BS",10,2008,7,23,88,200801,206,4.1,4.9,"H-10",57.33,-162.14,10,"H-10",57.33308,-162.1422,"Race_Groundfish","InnerSE"
11029395,"BS",31,2008,7,25,88,200801,217,2,5.5,"F-10",56.65,-162.14,31,"F-10",56.65289,-162.14,"Race_Groundfish","MiddleSE"
11022263,"BS",10,2008,6,5,89,200801,9,1.3,3.6,"G-14",57,-159.69,10,"G-14",57.00291,-159.6857,"Race_Groundfish","InnerSE"
11019876,"BS",31,2008,6,10,89,200801,32,2.5,5.1,"B-06",55.35,-164.54,31,"B-06",55.35332,-164.5425,"Race_Groundfish","MiddleSE"
11019878,"BS",31,2008,6,11,89,200801,36,4,4.2,"Z-05",54.68,-165.15,31,"Z-05",54.68328,-165.14771,"Race_Groundfish","MiddleSE"
11029414,"BS",10,2008,6,14,89,200801,51,2.3,2.4,"M-05",59.02,-165.3,10,"M-05",59.01977,-165.302,"Race_Groundfish","InnerSE"
11029416,"BS",10,2008,6,15,89,200801,54,1.4,2,"J-05",58.01,-165.25,10,"J-05",58.01054,-165.25259,"Race_Groundfish","InnerSE"
11022277,"BS",31,2008,6,16,89,200801,59,-0.3,3.3,"F-04",56.68,-165.85,31,"F-04",56.68239,-165.8515,"Race_Groundfish","MiddleSE"
11029419,"BS",31,2008,6,20,89,200801,65,2.8,5.8,"E-03",56.33,-166.41,31,"E-03",56.32804,-166.40939,"Race_Groundfish","MiddleSE"
11022257,"BS",20,2008,6,23,89,200801,84,2.5,2.7,"P-01",59.98,-167.99,20,"P-01",59.97832,-167.9883,"Race_Groundfish","InnerNW"
11022258,"BS",20,2008,6,23,89,200801,85,1.7,2.9,"P-18",60.01,-168.65,20,"P-18",60.01101,-168.6512,"Race_Groundfish","InnerNW"
11022260,"BS",20,2008,6,24,89,200801,89,1,2.7,"L-01",58.68,-167.87,20,"L-01",58.67837,-167.86549,"Race_Groundfish","InnerNW"
11022281,"BS",42,2008,6,28,89,200801,101,1,4.2,"IH2120",57.51,-170.01,42,"IH2120",57.5061,-170.0144,"Race_Groundfish","MiddleNW"
11029434,"BS",41,2008,6,29,89,200801,106,-0.1,3.5,"L-19",58.65,-169.16,41,"L-19",58.65296,-169.1581,"Race_Groundfish","MiddleNW"
11022285,"BS",41,2008,6,29,89,200801,107,0.3,3.5,"M-19",58.99,-169.19,41,"M-19",58.9931,-169.194,"Race_Groundfish","MiddleNW"
11029436,"BS",41,2008,6,30,89,200801,109,-1.3,4.7,"N-20",59.32,-169.87,41,"N-20",59.32014,-169.8736,"Race_Groundfish","MiddleNW"
11022287,"BS",20,2008,6,30,89,200801,112,-1.3,4.8,"Q-20",60.32,-170.03,20,"Q-20",60.32278,-170.0313,"Race_Groundfish","InnerNW"
11039976,"BS",41,2008,7,1,89,200801,115,-1.6,5.5,"R-22",60.66,-171.42,41,"R-22",60.65514,-171.4232,"Race_Groundfish","MiddleNW"
11022293,"BS",41,2008,7,4,89,200801,129,0.9,5.2,"K-22",58.33,-171.02,41,"K-22",58.33004,-171.0204,"Race_Groundfish","MiddleNW"
11022180,"BS",42,2008,7,6,89,200801,138,2.8,5.8,"F-21",56.68,-170.14,42,"F-21",56.67828,-170.13631,"Race_Groundfish","MiddleNW"
11019893,"BS",50,2008,7,10,89,200801,142,3.4,7.6,"C-01",55.66,-167.59,50,"C-01",55.65829,-167.586,"Race_Groundfish","OuterSE"
11029390,"BS",62,2008,7,14,89,200801,163,1.2,5.5,"N-26",59.33,-173.8,62,"N-26",59.3261,-173.7979,"Race_Groundfish","OuterNW"
11029392,"BS",43,2008,7,15,89,200801,166,-1.1,3.3,"QP2524",60.19,-173.04,43,"QP2524",60.1866,-173.03799,"Race_Groundfish","MiddleNW"
11019909,"BS",61,2008,7,19,89,200801,186,1.6,6.9,"R-32",60.68,-178.2,61,"R-32",60.6783,-178.19679,"Race_Groundfish","OuterNW"
11019926,"BS",61,2008,7,24,89,200801,212,2.2,7.5,"L-29",58.67,-175.57,61,"L-29",58.66863,-175.5659,"Race_Groundfish","OuterNW"
11046081,"BS",31,2009,6,4,89,200901,15,0.9,1.1,"G-11",56.98,-161.58,31,"G-11",56.98444,-161.5764,"Race_Groundfish","MiddleSE"
11030842,"BS",10,2009,6,6,89,200901,22,1.6,1.6,"I-09",57.68,-162.75,10,"I-09",57.67922,-162.74879,"Race_Groundfish","InnerSE"
11030843,"BS",10,2009,6,6,89,200901,23,1.5,1.5,"H-09",57.35,-162.77,10,"H-09",57.3477,-162.7683,"Race_Groundfish","InnerSE"
11075085,"BS",31,2009,6,7,89,200901,27,0.4,5.2,"C-08",55.68,-163.41,31,"C-08",55.67636,-163.4057,"Race_Groundfish","MiddleSE"
11025041,"BS",31,2009,6,8,89,200901,30,4.1,4.9,"A-06",55.02,-164.6,31,"A-06",55.01582,-164.5976,"Race_Groundfish","MiddleSE"
11039987,"BS",10,2009,6,9,89,200901,38,1.5,1.7,"J-07",57.99,-164.04,10,"J-07",57.98601,-164.0388,"Race_Groundfish","InnerSE"
11039990,"BS",10,2009,6,10,89,200901,42,3.7,3.7,"M-06",58.98,-164.65,10,"M-06",58.98425,-164.653,"Race_Groundfish","InnerSE"
11039995,"BS",31,2009,6,12,89,200901,50,0.9,4.8,"D-06",56,-164.6,31,"D-06",56.00357,-164.59689,"Race_Groundfish","MiddleSE"
11030844,"BS",50,2009,6,13,89,200901,55,3.4,6.1,"C-04",55.67,-165.8,50,"C-04",55.6652,-165.8017,"Race_Groundfish","OuterSE"
11039999,"BS",31,2009,6,14,89,200901,60,-1.1,4.5,"I-03",57.66,-166.51,31,"I-03",57.65619,-166.5114,"Race_Groundfish","MiddleSE"
11040007,"BS",50,2009,6,19,89,200901,72,3.5,6.3,"A-03",54.98,-166.34,50,"A-03",54.97957,-166.3364,"Race_Groundfish","OuterSE"
11046090,"BS",31,2009,6,20,89,200901,79,1.4,5.7,"F-01",56.66,-167.68,31,"F-01",56.65935,-167.6761,"Race_Groundfish","MiddleSE"
11075091,"BS",20,2009,6,21,89,200901,82,2.1,2.4,"L-02",58.65,-167.22,20,"L-02",58.64617,-167.2169,"Race_Groundfish","InnerNW"
11040017,"BS",20,2009,6,23,89,200901,94,4.1,4.5,"Q-01",60.33,-168.01,20,"Q-01",60.33419,-168.00639,"Race_Groundfish","InnerNW"
11075100,"BS",42,2009,6,27,89,200901,115,2.6,6.6,"F-21",56.68,-170.15,42,"F-21",56.68313,-170.15331,"Race_Groundfish","MiddleNW"
11046104,"BS",41,2009,6,29,89,200901,125,-0.6,5.2,"M-23",59.01,-171.78,41,"M-23",59.01429,-171.784,"Race_Groundfish","MiddleNW"
11075108,"BS",41,2009,7,6,89,200901,147,1.2,5.9,"J-23",58,-171.61,41,"J-23",57.99879,-171.6082,"Race_Groundfish","MiddleNW"
11025052,"BS",61,2009,7,11,89,200901,150,3.3,7,"F-24",56.66,-171.96,61,"F-24",56.66473,-171.9552,"Race_Groundfish","OuterNW"
11066158,"BS",61,2009,7,11,89,200901,151,3.3,6.9,"F-23",56.65,-171.34,61,"F-23",56.65073,-171.3437,"Race_Groundfish","OuterNW"
11075112,"BS",43,2009,7,14,89,200901,163,0.4,5.4,"PO2625",59.83,-173.59,43,"PO2625",59.82994,-173.5854,"Race_Groundfish","MiddleNW"
11040034,"BS",43,2009,7,14,89,200901,164,-1.1,5.1,"P-25",60.02,-173.32,43,"P-25",60.01942,-173.3165,"Race_Groundfish","MiddleNW"
11025057,"BS",61,2009,7,18,89,200901,185,2.4,7,"L-31",58.67,-176.88,61,"L-31",58.66963,-176.8799,"Race_Groundfish","OuterNW"
11075117,"BS",10,2009,7,27,89,200901,194,5.8,7.3,"I-09",57.65,-162.75,10,"I-09",57.65314,-162.7549,"Race_Groundfish","InnerSE"
11075121,"BS",10,2009,7,28,89,200901,199,6.1,6,"J-13",58,-160.25,10,"J-13",58.00286,-160.2525,"Race_Groundfish","InnerSE"
11025040,"BS",10,2009,7,29,89,200901,204,8.1,9.1,"F-14",56.68,-159.73,10,"F-14",56.67772,-159.7252,"Race_Groundfish","InnerSE"
11039945,"BS",31,2009,6,4,88,200901,13,1.5,2.1,"G-12",56.97,-160.96,31,"G-12",56.97218,-160.95531,"Race_Groundfish","MiddleSE"
11030851,"BS",10,2009,6,5,88,200901,20,2.1,2.3,"K-10",58.31,-162.01,10,"K-10",58.31231,-162.013,"Race_Groundfish","InnerSE"
11043623,"BS",31,2009,6,6,88,200901,23,1,1.2,"G-10",57.01,-162.19,31,"G-10",57.01273,-162.18629,"Race_Groundfish","MiddleSE"
11075043,"BS",31,2009,6,7,88,200901,32,1.3,4.9,"E-09",56.35,-162.81,31,"E-09",56.35062,-162.813,"Race_Groundfish","MiddleSE"
11075044,"BS",31,2009,6,8,88,200901,34,0.1,4.2,"E-07",56.34,-163.96,31,"E-07",56.33911,-163.95531,"Race_Groundfish","MiddleSE"
11030860,"BS",31,2009,6,12,88,200901,56,-0.9,4.5,"E-06",56.35,-164.58,31,"E-06",56.35043,-164.5775,"Race_Groundfish","MiddleSE"
11039954,"BS",20,2009,6,14,88,200901,67,3.2,3.3,"M-04",58.98,-165.93,20,"M-04",58.9829,-165.9314,"Race_Groundfish","InnerNW"
11025028,"BS",31,2009,6,16,88,200901,73,0.9,5,"F-02",56.67,-167.07,31,"F-02",56.6694,-167.0706,"Race_Groundfish","MiddleSE"
11025029,"BS",50,2009,6,16,88,200901,74,1.9,5.5,"E-02",56.34,-167.04,50,"E-02",56.34441,-167.0444,"Race_Groundfish","OuterSE"
11075055,"BS",50,2009,6,20,88,200901,85,1.8,6.1,"F-18",56.65,-168.29,50,"F-18",56.64599,-168.2888,"Race_Groundfish","OuterSE"
11063694,"BS",32,2009,6,21,88,200901,87,-0.7,5.6,"H-18",57.32,-168.37,32,"H-18",57.31897,-168.3679,"Race_Groundfish","MiddleSE"
11043633,"BS",42,2009,6,21,88,200901,88,-0.7,5.6,"I-18",57.64,-168.4,42,"I-18",57.6445,-168.3981,"Race_Groundfish","MiddleNW"
11075061,"BS",32,2009,6,26,88,200901,115,0.7,4.8,"GF2019",56.82,-169.3,32,"GF2019",56.82352,-169.29559,"Race_Groundfish","MiddleSE"
11075065,"BS",41,2009,6,29,88,200901,130,-0.3,5.6,"L-23",58.66,-171.7,41,"L-23",58.66198,-171.69659,"Race_Groundfish","MiddleNW"
11039967,"BS",41,2009,7,4,88,200901,143,-1,2.9,"S-24",61.01,-172.82,41,"S-24",61.01342,-172.82001,"Race_Groundfish","MiddleNW"
11043654,"BS",43,2009,7,5,88,200901,151,0.3,5.3,"O-25",59.67,-173.25,43,"O-25",59.66666,-173.24699,"Race_Groundfish","MiddleNW"
11039969,"BS",61,2009,7,11,88,200901,157,3.3,7.2,"G-25",57,-172.64,61,"G-25",57.00449,-172.6395,"Race_Groundfish","OuterNW"
11075069,"BS",62,2009,7,13,88,200901,166,1,6,"P-27",59.98,-174.62,62,"P-27",59.98216,-174.6183,"Race_Groundfish","OuterNW"
11043662,"BS",90,2009,7,15,88,200901,175,-1.3,5.4,"U-29",61.65,-176.47,90,"U-29",61.64729,-176.4677,"Race_Groundfish","NA"
11039973,"BS",82,2009,7,16,88,200901,177,-1.7,4.6,"U-27",61.67,-175.08,82,"U-27",61.67258,-175.0766,"Race_Groundfish","NA"
11025038,"BS",61,2009,7,17,88,200901,185,1.2,6.2,"R-32",60.67,-178.18,61,"R-32",60.66665,-178.1759,"Race_Groundfish","OuterNW"
11025024,"BS",61,2009,7,19,88,200901,192,1.3,7.2,"M-29",59.01,-175.73,61,"M-29",59.00756,-175.7336,"Race_Groundfish","OuterNW"
11043668,"BS",31,2009,7,27,88,200901,197,2.5,9.8,"G-09",57.02,-162.82,31,"G-09",57.02372,-162.8223,"Race_Groundfish","MiddleSE"
11075074,"BS",10,2009,7,27,88,200901,199,3.6,8.1,"H-10",57.33,-162.15,10,"H-10",57.33013,-162.1548,"Race_Groundfish","InnerSE"
11075078,"BS",31,2009,7,29,88,200901,212,2.6,9.3,"F-10",56.67,-162.15,31,"F-10",56.66641,-162.14771,"Race_Groundfish","MiddleSE"
11043677,"BS",31,2009,7,29,88,200901,213,3,9.4,"E-10",56.36,-162.17,31,"E-10",56.35749,-162.1653,"Race_Groundfish","MiddleSE"
11025653,"GOA",111,2009,5,23,143,200901,4,3.8,5.4,"15-10",52.73,-168.78,111,"15-10",52.73418,-168.7786,"Race_Groundfish","Westshelf"
11025657,"GOA",111,2009,5,25,143,200901,12,4.9,5.1,"46-28",53.46,-166.18,111,"46-28",53.46138,-166.1812,"Race_Groundfish","Westshelf"
11027269,"GOA",210,2009,5,25,143,200901,13,4.7,5.5,"50-28",53.46,-165.89,210,"50-28",53.4603,-165.89301,"Race_Groundfish","Westslope"
11027271,"GOA",10,2009,5,26,143,200901,15,3.9,3.9,"60-46",54.2,-165.08,10,"60-46",54.20393,-165.0834,"Race_Groundfish","Westshelf"
11025660,"GOA",11,2009,5,27,143,200901,22,3.5,5.4,"78-44",54.12,-163.59,11,"78-44",54.11849,-163.5855,"Race_Groundfish","Westshelf"
11027278,"GOA",11,2009,5,29,143,200901,25,3.8,5.1,"86-45",54.16,-162.94,11,"86-45",54.16346,-162.936,"Race_Groundfish","Westshelf"
11025664,"GOA",12,2009,5,31,143,200901,34,4.6,5.4,"102-77",55.54,-161.56,12,"102-78",55.54384,-161.55881,"Race_Groundfish","Westshelf"
11027306,"GOA",210,2009,6,11,143,200901,66,5,6.5,"112-48",54.27,-160.77,210,"112-48",54.27429,-160.77271,"Race_Groundfish","Westslope"
11025673,"GOA",20,2009,6,12,143,200901,70,3.3,5.7,"141-86",55.91,-158.35,20,"141-86",55.91021,-158.3504,"Race_Groundfish","Centralshelf"
11027162,"GOA",21,2009,6,13,143,200901,76,4,5.3,"158-92",56.17,-156.95,21,"158-92",56.17076,-156.952,"Race_Groundfish","Centralshelf"
11025681,"GOA",121,2009,6,15,143,200901,84,4.6,7.7,"164-102",56.64,-156.49,121,"164-103",56.63798,-156.49339,"Race_Groundfish","Centralshelf"
11025685,"GOA",22,2009,6,18,143,200901,98,6.5,7,"191-104",56.72,-154.26,22,"191-104",56.72152,-154.26469,"Race_Groundfish","Centralshelf"
11027183,"GOA",22,2009,6,21,143,200901,108,5.1,8.8,"183-111",57.03,-154.89,22,"183-111",57.02898,-154.8918,"Race_Groundfish","Centralshelf"
11027206,"GOA",132,2009,6,27,143,200901,136,5.1,8.7,"196-141",58.4,-153.77,132,"197-141",58.40087,-153.7729,"Race_Groundfish","Centralshelf"
11025692,"GOA",35,2009,6,28,143,200901,138,5.4,9.9,"203-136",58.17,-153.24,35,"203-136",58.16596,-153.2393,"Race_Groundfish","Centralshelf"
11025701,"GOA",32,2009,7,1,143,200901,159,8.1,9,"206-164",59.47,-153,32,"206-164",59.47245,-153.0005,"Race_Groundfish","Centralshelf"
11027331,"GOA",30,2009,7,5,143,200901,177,6.5,8.1,"221-140",58.36,-151.75,30,"221-140",58.35957,-151.7494,"Race_Groundfish","Centralshelf"
11025708,"GOA",132,2009,7,5,143,200901,180,5.5,9.9,"226-141",58.38,-151.29,132,"227-141",58.38055,-151.2858,"Race_Groundfish","Centralshelf"
11027210,"GOA",134,2009,7,9,143,200901,202,5.1,9.2,"249-133",58.04,-149.43,134,"249-133",58.04173,-149.4348,"Race_Groundfish","Centralshelf"
11027216,"GOA",31,2009,7,10,143,200901,210,7.9,8.5,"234-139",58.32,-150.67,31,"234-139",58.3175,-150.67239,"Race_Groundfish","Centralshelf"
11025717,"GOA",131,2009,7,11,143,200901,213,4.8,11.1,"231-148",58.72,-150.88,131,"231-148",58.72483,-150.88361,"Race_Groundfish","Centralshelf"
11025722,"GOA",33,2009,7,14,143,200901,219,5.1,15.6,"249-176",60.06,-149.41,33,"249-176",60.06421,-149.41209,"Race_Groundfish","Centralshelf"
11027220,"GOA",133,2009,7,14,143,200901,221,5.3,13.4,"252-168",59.66,-149.17,133,"252-168",59.65747,-149.17011,"Race_Groundfish","Centralshelf"
11027228,"GOA",230,2009,7,16,143,200901,234,5.3,14,"245-152",58.92,-149.75,230,"245-152",58.91927,-149.74789,"Race_Groundfish","Centralgully"
11027232,"GOA",230,2009,7,17,143,200901,239,5.3,13.8,"247-153",58.95,-149.62,230,"247-153",58.94742,-149.6225,"Race_Groundfish","Centralgully"
11025733,"GOA",140,2009,7,21,143,200901,254,5.2,12.6,"303-174",59.99,-144.96,140,"303-174",59.98696,-144.9613,"Race_Groundfish","Eastshelf"
11025740,"GOA",251,2009,7,27,143,200901,274,5,13.6,"419-86",55.93,-135.41,351,"419-87",55.93185,-135.41319,"Race_Groundfish","NA"
11027259,"GOA",151,2009,7,29,143,200901,280,6.1,11.4,"440-68",55.15,-133.67,151,"440-68",55.15431,-133.6734,"Race_Groundfish","NA"
11025545,"GOA",111,2009,5,23,94,200901,7,4.4,3.9,"23-16",52.95,-168.13,111,"23-16",52.9495,-168.1329,"Race_Groundfish","Westshelf"
11025555,"GOA",310,2009,5,27,94,200901,25,4.5,4.7,"68-34",53.71,-164.38,310,"68-34",53.70898,-164.37579,"Race_Groundfish","Westslope"
11050443,"GOA",11,2009,5,27,94,200901,26,3.2,5,"72-42",54.05,-164.02,11,"73-43",54.05469,-164.0157,"Race_Groundfish","Westshelf"
11050446,"GOA",11,2009,5,30,94,200901,42,2.9,4.9,"81-57",54.68,-163.34,11,"81-57",54.67898,-163.33771,"Race_Groundfish","Westshelf"
11025568,"GOA",13,2009,6,3,94,200901,60,3.7,5.8,"107-53",54.51,-161.18,110,"107-53",54.50592,-161.17931,"Race_Groundfish","Westshelf"
11050454,"GOA",13,2009,6,3,94,200901,61,3.2,5.8,"108-56",54.64,-161.12,13,"108-56",54.64058,-161.1161,"Race_Groundfish","Westshelf"
11050458,"GOA",12,2009,6,6,94,200901,74,5.7,6.5,"121-81",55.71,-160.04,12,"121-81",55.70921,-160.041,"Race_Groundfish","Westshelf"
11050462,"GOA",210,2009,6,9,94,200901,78,5.1,5.4,"121-50",54.36,-159.97,210,"121-50",54.36329,-159.9734,"Race_Groundfish","Westslope"
11050463,"GOA",111,2009,6,9,94,200901,79,3.4,5.5,"123-52",54.47,-159.84,111,"123-52",54.46677,-159.8414,"Race_Groundfish","Westshelf"
11050466,"GOA",120,2009,6,10,94,200901,85,4.4,6.3,"135-67",55.07,-158.84,120,"135-66",55.07034,-158.84039,"Race_Groundfish","Centralgully"
11025579,"GOA",122,2009,6,12,94,200901,92,4.6,6.4,"147-59",54.77,-157.88,221,"147-60",54.7711,-157.88229,"Race_Groundfish","Centralshelf"
11050480,"GOA",122,2009,6,15,94,200901,108,4.9,7.7,"173-77",55.54,-155.67,122,"174-78",55.5446,-155.6678,"Race_Groundfish","Centralshelf"
11050485,"GOA",420,2009,6,16,94,200901,115,3.7,7.7,"188-88",55.98,-154.49,420,"188-87",55.97675,-154.49471,"Race_Groundfish","Centralslope"
11025587,"GOA",22,2009,6,17,94,200901,117,4.8,7.7,"187-93",56.21,-154.55,22,"187-93",56.20973,-154.5461,"Race_Groundfish","Centralshelf"
11050486,"GOA",22,2009,6,17,94,200901,120,5.6,6.9,"185-93",56.22,-154.75,22,"185-93",56.22074,-154.7536,"Race_Groundfish","Centralshelf"
11046848,"GOA",22,2009,6,18,94,200901,124,4.8,5.5,"174-92",56.16,-155.62,22,"174-92",56.15775,-155.6243,"Race_Groundfish","Centralshelf"
11025590,"GOA",22,2009,6,18,94,200901,129,5.4,7.1,"173-82",55.74,-155.75,22,"173-82",55.74415,-155.7493,"Race_Groundfish","Centralshelf"
11025591,"GOA",122,2009,6,19,94,200901,130,5.1,7.8,"165-73",55.34,-156.4,122,"165-73",55.34453,-156.4005,"Race_Groundfish","Centralshelf"
11046855,"GOA",21,2009,6,20,94,200901,139,4.8,7,"156-77",55.52,-157.15,21,"156-77",55.51588,-157.15109,"Race_Groundfish","Centralshelf"
11025598,"GOA",122,2009,6,21,94,200901,146,5,7.5,"178-82",55.72,-155.31,122,"178-81",55.71579,-155.3067,"Race_Groundfish","Centralshelf"
11025630,"GOA",140,2009,7,15,94,200901,244,5.4,12,"282-166",59.57,-146.73,140,"282-166",59.56894,-146.7337,"Race_Groundfish","Eastshelf"
11025631,"GOA",140,2009,7,15,94,200901,245,5.2,12.8,"288-166",59.57,-146.2,140,"288-166",59.57312,-146.2045,"Race_Groundfish","Eastshelf"
11046803,"GOA",140,2009,7,15,94,200901,246,5.7,14.7,"303-168",59.67,-144.97,140,"303-168",59.6704,-144.9663,"Race_Groundfish","Eastshelf"
11046812,"GOA",241,2009,7,19,94,200901,262,5.9,15,"366-144",58.52,-139.78,241,"366-144",58.52039,-139.7838,"Race_Groundfish","Eastslope"
11025641,"GOA",143,2009,7,21,94,200901,272,5.6,12.7,"385-140",58.34,-138.18,143,"385-140",58.34159,-138.179,"Race_Groundfish","Eastshelf"
11046817,"GOA",350,2009,7,21,94,200901,273,4.6,13.7,"401-132",57.97,-136.88,350,"401-132",57.9727,-136.88161,"Race_Groundfish","NA"
11046836,"GOA",350,2009,7,29,94,200901,305,5.4,10.3,"444-55",54.6,-133.33,350,"444-56",54.60273,-133.3302,"Race_Groundfish","NA"
11025606,"GOA",134,2009,6,26,94,200901,157,5,9.3,"222-109",56.94,-151.67,134,"222-109",56.93811,-151.6718,"Race_Groundfish","Centralshelf"
11046857,"GOA",31,2009,6,26,94,200901,158,5.6,8.9,"220-110",56.98,-151.85,31,"220-110",56.98306,-151.84531,"Race_Groundfish","Centralshelf"
11046860,"GOA",330,2009,6,28,94,200901,166,4.9,9.1,"200-89",56.04,-153.5,330,"200-89",56.04096,-153.5024,"Race_Groundfish","Centralslope"
11046861,"GOA",134,2009,6,29,94,200901,168,5,9.2,"200-92",56.17,-153.48,134,"200-92",56.16515,-153.4753,"Race_Groundfish","Centralshelf"
11050496,"GOA",31,2009,6,29,94,200901,171,,,"196-96",56.36,-153.78,31,"196-96",56.35536,-153.7822,"Race_Groundfish","Centralshelf"
11050498,"GOA",30,2009,6,30,94,200901,173,5.9,9.2,"197-108",56.88,-153.72,30,"197-108",56.88451,-153.7188,"Race_Groundfish","Centralshelf"
11046863,"GOA",31,2009,7,1,94,200901,180,5.1,9.3,"202-99",56.48,-153.31,31,"202-99",56.48497,-153.31329,"Race_Groundfish","Centralshelf"
11025613,"GOA",130,2009,7,1,94,200901,185,4.9,10.8,"211-107",56.84,-152.59,130,"211-107",56.83869,-152.59351,"Race_Groundfish","Centralgully"
11046868,"GOA",134,2009,7,2,94,200901,188,4.9,9.9,"214-100",56.55,-152.34,134,"214-100",56.55212,-152.3353,"Race_Groundfish","Centralshelf"
11046869,"GOA",31,2009,7,2,94,200901,189,5,10.7,"217-101",56.57,-152.1,31,"217-101",56.56929,-152.09731,"Race_Groundfish","Centralshelf"
11025615,"GOA",31,2009,7,3,94,200901,194,5,10.7,"217-107",56.84,-152.09,31,"217-107",56.84429,-152.0883,"Race_Groundfish","Centralshelf"
11050509,"GOA",30,2009,7,4,94,200901,202,6,9.4,"211-117",57.28,-152.58,30,"211-117",57.28325,-152.578,"Race_Groundfish","Centralshelf"
11046876,"GOA",131,2009,7,8,94,200901,219,,,"256-142",58.44,-148.82,131,"256-142",58.43552,-148.8181,"Race_Groundfish","Centralshelf"
11046878,"GOA",131,2009,7,9,94,200901,222,5,12.3,"250-139",58.32,-149.37,131,"250-139",58.31502,-149.3728,"Race_Groundfish","Centralshelf"
11046880,"GOA",131,2009,7,9,94,200901,226,4.8,12.7,"248-145",58.57,-149.51,131,"248-145",58.57285,-149.5099,"Race_Groundfish","Centralshelf"
11046884,"GOA",530,2009,7,11,94,200901,232,3.7,11.6,"271-154",59.02,-147.63,530,"271-154",59.02376,-147.6342,"Race_Groundfish","Centralslope"
